f1_name,f2_name,market_prob_f1,gen_prob_f1,ud_prob_f1,blended_prob_f1,blended_edge,target,price_f1
Ailin Perez,Karol Rosa,0.3278688524590163,0.5778732895851135,0.6129509,0.6006737500429153,0.27280489758389903,1,205
Muin Gafurov,Rinya Nakamura,0.1587301587301587,0.2992551624774933,0.4552549,0.4006549999117851,0.2419248411816264,1,530
Ricky Turcios,Benardo Sopaj,0.2941176470588235,0.4401277601718902,0.27260515,0.33123805969953535,0.037120412640711864,0,240
Clayton Carpenter,Tagir Ulanbekov,0.2439024390243902,0.5166794508695602,0.30161926,0.3768903143703938,0.13298787534600356,0,310
Mackenzie Dern,Amanda Ribas,0.3816793893129771,0.3765209764242172,0.34126967,0.3536076135933399,-0.028071775719637204,1,162
Abdul Razak Alhassan,Cesar Almeida,0.3174603174603174,0.2790074348449707,0.4725602,0.4048167049884796,0.08735638752816222,0,215
Chris Curtis,Roman Kopylov,0.3355704697986577,0.4227458387613296,0.27054286,0.32381389364600177,-0.011756576152655906,0,198
Christian Rodriguez,Austin Bashi,0.3174603174603174,0.6452257931232452,0.8251657,0.7621867284178734,0.444726410957556,1,215
Punahele Soriano,Uros Medic,0.3355704697986577,0.418970376253128,0.72594804,0.6185058519244193,0.28293538212576164,1,198
Petr Yan,Merab Dvalishvili,0.25,0.2814502418041229,0.62382716,0.5039952114224434,0.2539952114224434,1,300
Joshua Van,Alexandre Pantoja,0.3623188405797101,0.6178139895200729,0.7048583,0.6743927635252476,0.3120739229455375,1,176
Henry Cejudo,Payton Talbott,0.3278688524590163,0.1571065858006477,0.36415163,0.29168585799634456,-0.03618299446267176,0,205
Manuel Torres,Grant Dawson,0.3125,0.4134391397237777,0.77919716,0.6511818297207355,0.33868182972073546,1,220
Karine Silva,Maycee Barber,0.352112676056338,0.2343791127204895,0.38892284,0.33483252823352816,-0.017280147822809844,0,184
Nazim Sadykhov,Fares Ziam,0.3875968992248062,0.2387410327792167,0.44282943,0.37139847613871096,-0.01619842308609526,0,158
Edson Barboza,Jalin Turner,0.217391304347826,0.4009026288986206,0.15844731,0.24330666661262512,0.025915362264799124,0,360
Ibo Aslan,Iwo Baraniewski,0.3571428571428571,0.6425444781780243,0.37820655,0.47072481364011765,0.11358195649726055,0,180
Antonio Trocoli,Mansur Abdul-Malik,0.0925925925925925,0.1244031712412834,0.21271361,0.18180496133863924,0.08921236874604674,0,980
Muhammad Naimov,Mairon Santos,0.3333333333333333,0.2513010501861572,0.42855704,0.366517436504364,0.03318410317103071,0,200
